Title,Year(s),Notes,Client
Phil Hendrie,2003,TV pilot,Fox
Drew Carey's Green Screen Show,2004,animated sequences,Warner Bros. Television
My Wife and Kids,2005,"""Jr's Cartoon"" (animated sequence)",Touchstone Television
Sunday Pants,,"""Weighty Decisions"" shorts",Cartoon Network
Twinkle,,TV pilot,Klasky Csupo
Where My Dogs At?,2006,,MTV
Wow! Wow! Wubbzy!,2006–2010,,Starz Media
Shaggy & Scooby-Doo Get a Clue!,2006,main titles,Warner Bros. Television
Medium,,"""Four Dreams"" (animation)",CBS Paramount Television
Random! Cartoons,,"""Ratzafratz!""",Nickelodeon
Slacker Cats,2007,,ABC Family
El Tigre: The Adventures of Manny Rivera,,,Nickelodeon
Mask of Santo,2008,TV pilot,Cartoon Network
Bumble Braynes,,,
The Electric Company,2009,"""Odd Couple"" shorts",Sesame Workshop
Drop Dead Diva,,"""What If?"" (animation)",Sony Pictures Television
'Til Death,2010,"""The Wedding"" (animation)",
Kirstie Alley's Big Life,,main titles,FremantleMedia
The Benson Interruption,,,Comedy Central
Gypsy Cab,,TV pilot,
Wyatt Cenac: Comedy Person,2011,TV special (animation),
Good Vibes,,,MTV
The Looney Tunes Show,2012,"""The Shelf"" (""Chintzy"" segment)",Warner Bros. Television
Fringe,,"""Black Blotter"" (animated sequence)",
Holliston,2013,"""Blobby"" (animation)",Fearnet
Comedians in Cars Getting Coffee,2014,"""Comedy, Sex and the Blue Numbers"" (animation)",Sony Pictures Television
Cosmos: A Spacetime Odyssey,,[16],Cosmos Studios
Garfunkel and Oates,,"""Eggs"" (animation)",IFC
"Like, Share, Die",2015,,Mondo Media
Fresh Beat Band of Spies,2015–2016,As 6point2,Nickelodeon
Everstar,2015,pilot,Amazon Studios
