Series,Channel,Airing Period
Sapna Babul Ka...Bidaai[10],Star Plus,8 October 2007 – 13 November 2010
Maat Pitaah Ke Charnon Mein Swarg,Colors TV,29 June 2009 – 4 June 2010
Chand Chupa Badal Mein,Star Plus,28 June 2010 – 17 June 2011
Havan,Colors TV,26 September 2011 – 30 March 2012
Kuch Toh Log Kahenge,Sony TV,3 October 2011 – 28 March 2013
Amrit Manthan[11],Life OK,26 February 2012 – 2 August 2013
Jamuna Paar[12],Imagine TV,27 February 2012 – 12 April 2012
Aur Pyaar Ho Gaya,Zee TV,6 January 2014 – 2 December 2014
Itti Si Khushi[13],Sony TV,29 September 2014 – 2 January 2015
Tere Sheher Mein[14],Star Plus,2 March 2015 – 14 November 2015
Baavle Utaavle[15],SAB TV,18 February 2019 – 26 August 2019
Yeh Rishtey Hain Pyaar Ke,Star Plus,18 March 2019 – 17 October 2020
Mann Kee Awaaz Pratigya 2,Star Bharat,15 March 2021 – 25 August 2021
Woh Toh Hai Albelaa,Star Bharat,14 March 2022 – 14 June 2023
Baatein Kuch Ankahee Si,Star Plus,21 August 2023 – 11 March 2024
