Name:,Aired On:
Southie Rules,A&E
Dogs 101,Animal Planet
Cats 101,Animal Planet
Build It Bigger (14 episodes),Discovery
Sliced,History
Superfetch,Animal Planet
Dogs Vs Cats,Animal Planet
A Girl's Life,PBS
America's Cutest Dog,Animal Planet
Kids By The Dozen (3 episodes),TLC
Mysteries of the Freemasons,History
Inside Supermax,TLC
Extreme Engineering - Season 3 (6 episodes),Discovery
Raising Cain with Michael Thompson,PBS
MegaStructures: Ultimate Oil Rigs,National Geographic Channel
MegaStructures: Berlin Train Terminal,National Geographic Channel
MegaStructures: World's Biggest Airliner,National Geographic Channel
MegaStructures: Black Gold,National Geographic Channel
The Great Pink Scare,PBS
Extreme Engineering - Season 2 (10 episodes),Discovery
Invent This! (13 episodes),Tech TV
Engineering Supermax Prisons,TLC
World in Balance - China Revs Up,Nova/PBS
Extreme Engineering - Season 1 (10 episodes),Discovery
Engineering the Impossible,Discovery
The Power of Friendship with Michael Thompson,OPB
"Secrets, Lies, and Atomic Spies",Nova/PBS
Great Transformations - Evolution,Nova/PBS
The Killer's Trail,Nova/PBS
Mummies - The Real Story,Discovery Channel
Inside the US Mint,Discovery
Inside the World's Mightiest Bank,Discovery
