Year,Title,Platform(s)
2007,Flipper Critters,Nintendo DS
,Pinball FX,Xbox Live Arcade
2008,Rocky and Bullwinkle,
2009,Ghostbusters: The Video Game,Nintendo DS
,The Punisher: No Mercy,PlayStation 3
,Zen Pinball,
2010,Marvel Pinball,
,Pinball FX 2,Xbox Live Arcade
,Planet Minigolf,PlayStation 3
2011,Zen Pinball,Nintendo 3DS
,Zen Pinball 2,"Android, iOS"
2012,3D Solitaire,Nintendo 3DS
,Marvel Pinball 3D,
,Pinball FX 2,Microsoft Windows
,Zen Pinball 2,"Macintosh, PlayStation 3, PlayStation Vita"
2013,CastleStorm,"Microsoft Windows, PlayStation 3, PlayStation Vita, Wii U, Xbox Live Arcade"
,KickBeat,"PlayStation 3, PlayStation Vita"
,Star Wars Pinball,Nintendo 3DS
,Star Wars Pinball 7,iOS
,Zen Pinball 2,"PlayStation 4, Wii U"
,Zen Pinball HD: Star Wars - Episode V: The Empire Strikes Back,"Android, iOS, Macintosh"
,Zen Pinball: Moon Knight,
2014,CastleStorm,"Android, iOS"
,CastleStorm: Free to Siege,
,CastleStorm: GriffyStorm,iOS
,CastleStorm: KingMaker,
,KickBeat,"Microsoft Windows, PlayStation 4, Wii U, Xbox One"
,Pinball FX 2,Xbox One
,The Walking Dead Pinball,"Android, iOS, Macintosh, Microsoft Windows, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox Live Arcade, Xbox One"
2015,American Dad!: Pinball,"Android, iOS"
,CastleStorm: GriffyStorm,Android
,CastleStorm: KingMaker,
,Pinball FX 2: Mars,"Android, iOS"
2016,Pinball FX 2 VR,PlayStation VR
2017,CastleStorm: Virtual Reality,
,Infinite Minigolf,"Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
,Pinball FX 3,
2018,Disco Dodgeball: Remix,"Nintendo Switch, PlayStation 4, Xbox One"
,Out of Ammo,PlayStation VR
,Pinball FX 2 VR,"Oculus Go, Oculus Rift"
,Star Wars Pinball 7,Android
2019,Dread Nautical,"iOS, Macintosh"
,Operencia: The Stolen Sun,"Microsoft Windows, Xbox One"
,Pinball FX 2 VR,Oculus Quest
,Star Wars Pinball,Nintendo Switch
,Williams Pinball,"Android, iOS"
2020,CastleStorm II,"Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
,Dread Nautical,
,Operencia: The Stolen Sun,"Nintendo Switch, PlayStation 4"
2021,Star Wars: Pinball VR,"Oculus Quest, Oculus Quest 2, PlayStation VR, Steam VR"
2022,Circus Electrique,"Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S"
2023,Pinball FX,"Microsoft Windows, Nintendo Switch, PlayStation 5, Xbox Series X/S"
,Pinball M[35][36],"Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S"
